iter	Passed	Remaining
0	1	274
1	1	191
2	2	180
3	3	187
4	4	186
5	5	192
6	6	181
7	7	175
8	7	165
9	8	159
10	8	154
11	9	150
12	10	147
13	10	143
14	11	139
15	11	135
16	12	133
17	12	129
18	13	126
19	13	124
20	14	121
21	14	119
22	15	117
23	15	116
24	16	113
25	16	112
26	17	111
27	17	108
28	18	107
29	18	106
30	19	104
31	19	103
32	20	103
33	20	101
34	21	100
35	21	99
36	22	98
37	22	96
38	23	95
39	23	94
40	24	93
41	24	92
42	25	91
43	25	90
44	25	89
45	26	88
46	26	87
47	27	86
48	27	86
49	28	85
50	29	86
51	30	85
52	30	84
53	30	83
54	31	82
55	31	81
56	32	80
57	32	79
58	32	78
59	33	77
60	33	77
61	34	75
62	34	74
63	34	73
64	35	73
65	35	72
66	35	71
67	37	72
68	37	71
69	38	72
70	39	71
71	39	70
72	40	69
73	40	68
74	40	68
75	41	67
76	41	66
77	42	65
78	42	65
79	42	64
80	43	63
81	43	62
82	43	61
83	44	60
84	44	60
85	44	59
86	45	58
87	45	57
88	45	57
89	46	56
90	46	55
91	46	55
92	47	54
93	47	53
94	47	53
95	48	52
96	48	51
97	49	51
98	49	50
99	50	50
100	50	49
101	50	48
102	51	48
103	51	47
104	51	46
105	52	46
106	52	45
107	52	44
108	53	44
109	53	43
110	53	43
111	54	42
112	54	42
113	55	41
114	55	40
115	55	40
116	56	39
117	56	39
118	56	38
119	57	38
120	57	37
121	57	36
122	58	36
123	58	35
124	58	35
125	59	34
126	59	34
127	59	33
128	60	33
129	60	32
130	60	31
131	60	31
132	61	30
133	61	30
134	61	29
135	62	29
136	62	28
137	63	28
138	63	27
139	64	27
140	65	27
141	65	26
142	66	26
143	66	25
144	66	25
145	67	24
146	67	24
147	68	23
148	68	23
149	68	22
150	69	22
151	70	22
152	70	21
153	71	21
154	71	20
155	72	20
156	72	19
157	73	19
158	73	18
159	73	18
160	74	17
161	74	17
162	74	17
163	75	16
164	75	16
165	76	15
166	76	15
167	76	14
168	77	14
169	77	13
170	77	13
171	77	12
172	78	12
173	78	11
174	78	11
175	79	10
176	79	10
177	79	9
178	80	9
179	80	8
180	80	8
181	81	8
182	81	7
183	81	7
184	82	6
185	82	6
186	82	5
187	83	5
188	83	4
189	83	4
190	84	3
191	84	3
192	84	3
193	84	2
194	85	2
195	85	1
196	86	1
197	86	0
198	86	0
199	87	0
